Id,age,years_of_experience,lesson_price,qualification,physics,chemistry,biology,english,geography,history,mean_exam_points,choose
53,41.0,0.0,1200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0
54,62.0,1.0,1850.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0
55,59.0,0.0,2200.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,81.0,1
56,33.0,1.0,1900.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,64.0,0
57,50.0,4.0,2650.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,86.0,0
58,47.0,0.0,1450.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0
59,39.0,3.0,2400.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,78.0,0
60,51.0,2.0,2250.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0
61,29.0,0.0,1200.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,0
62,44.0,2.0,1750.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,72.0,0
63,54.0,3.0,1600.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,51.0,0
64,54.0,0.0,1450.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,56.0,0
65,39.0,1.0,2200.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,1
66,36.0,0.0,1300.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0
67,35.0,1.0,1600.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,51.0,0
68,46.0,4.0,2200.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0
69,50.0,0.0,1500.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,56.0,0
70,37.0,0.0,2150.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,73.0,0
71,63.0,3.0,2150.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0
72,46.0,2.0,1550.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0
73,38.0,4.0,1700.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,58.0,0
74,54.0,0.0,1150.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,63.0,0
75,43.0,5.0,1950.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,49.0,0
76,49.0,2.0,1350.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,64.0,0
77,39.0,3.0,3000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0
78,43.0,0.0,1200.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,47.0,0
79,43.0,0.0,2200.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0
80,44.0,2.0,2250.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0
81,33.0,1.0,2200.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,76.0,0
82,43.0,3.0,1150.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0
83,47.0,0.0,1400.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,65.0,0
84,45.0,4.0,2050.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,81.0,1
85,54.0,2.0,1750.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,71.0,0
86,59.0,0.0,1150.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0
87,38.0,1.0,1650.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,48.0,0
88,41.0,1.0,2150.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,93.0,0
89,23.0,1.0,2150.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,83.0,0
90,53.0,0.0,1350.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0
91,50.0,1.0,1450.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,58.0,0
92,46.0,1.0,1500.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0
93,37.0,4.0,1450.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,63.0,0
94,57.0,3.0,1350.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,61.0,0
95,52.0,0.0,1400.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,63.0,0
96,43.0,0.0,2150.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,80.0,0
97,50.0,0.0,1700.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0
98,48.0,5.0,1900.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0
99,60.0,6.0,3000.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,89.0,0
100,40.0,2.0,2000.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,83.0,0
101,51.0,3.0,2000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0
102,53.0,0.0,1750.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0
103,41.0,1.0,2300.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0
104,40.0,3.0,1600.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,70.0,0
105,53.0,4.0,1500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0
106,51.0,3.0,1450.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0
107,42.0,0.0,1450.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,63.0,0
108,60.0,6.0,2100.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0
109,43.0,3.0,1500.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,66.0,0
110,53.0,5.0,3150.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,89.0,0
111,47.0,2.0,1300.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0
112,42.0,2.0,1100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,54.0,0
113,36.0,2.0,850.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,59.0,1
114,25.0,0.0,1250.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,54.0,0
115,52.0,0.0,1200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0
116,48.0,0.0,2200.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,76.0,0
117,56.0,1.0,1650.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,47.0,0
118,32.0,1.0,1400.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,65.0,0
119,39.0,0.0,1200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0
120,34.0,5.0,1000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0
121,58.0,3.0,1650.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,67.0,0
122,58.0,2.0,2250.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0
123,48.0,3.0,1300.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,59.0,1
124,37.0,0.0,2200.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0
125,33.0,2.0,1250.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,70.0,1
126,46.0,5.0,1650.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0
127,46.0,5.0,3300.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,85.0,0
128,55.0,0.0,1400.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,0
129,32.0,1.0,1450.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,44.0,0
130,49.0,1.0,1200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0
131,44.0,2.0,1700.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0
132,62.0,7.0,3550.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0
133,47.0,4.0,1950.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,67.0,0
134,33.0,1.0,1450.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0
135,47.0,4.0,1850.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0
136,52.0,3.0,1300.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,63.0,0
137,47.0,3.0,1500.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0
138,42.0,1.0,2300.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,86.0,0
139,35.0,0.0,1550.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,39.0,0
140,35.0,0.0,1150.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,56.0,0
141,48.0,1.0,1450.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0
142,47.0,0.0,1500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0
143,41.0,0.0,1700.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0
144,23.0,0.0,1400.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0
145,49.0,0.0,1550.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0
146,44.0,4.0,2300.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,79.0,1
147,51.0,0.0,1350.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,0
148,36.0,1.0,1300.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,0
149,34.0,2.0,2250.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0
150,47.0,0.0,1450.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0
151,41.0,2.0,1700.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0
152,33.0,1.0,2100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0
153,49.0,0.0,1400.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,64.0,0
154,43.0,1.0,1750.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0
155,37.0,5.0,850.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0
156,31.0,2.0,2750.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,93.0,0
157,59.0,7.0,3450.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,95.0,0
158,28.0,0.0,1750.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,71.0,0
159,35.0,2.0,2900.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0
160,34.0,0.0,1400.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,66.0,1
161,58.0,1.0,1200.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,0
162,50.0,1.0,1300.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0
163,55.0,3.0,1050.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,59.0,0
164,48.0,4.0,1950.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0
165,48.0,5.0,1500.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,59.0,0
166,44.0,3.0,1500.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,55.0,0
167,57.0,5.0,1200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0
168,40.0,5.0,2100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0
169,45.0,6.0,2100.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,89.0,0
170,47.0,4.0,2600.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0
171,41.0,5.0,2000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0
172,40.0,3.0,2900.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0
173,36.0,5.0,2200.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,72.0,0
174,42.0,2.0,1700.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0
175,44.0,5.0,1150.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,71.0,1
176,51.0,0.0,1750.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0
177,32.0,2.0,1600.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0
178,43.0,1.0,1500.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,62.0,0
179,56.0,0.0,1150.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0
180,37.0,0.0,1400.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,58.0,0
181,43.0,2.0,2200.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0
182,34.0,2.0,1850.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0
183,45.0,0.0,1450.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0
184,40.0,1.0,1500.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,44.0,0
185,42.0,2.0,1600.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,0
186,55.0,0.0,2200.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0
187,50.0,4.0,2950.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,89.0,0
188,34.0,1.0,1500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0
189,66.0,3.0,1400.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,71.0,1
190,52.0,6.0,3950.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0
191,53.0,4.0,2400.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,85.0,0
192,43.0,5.0,1750.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0
193,43.0,1.0,1500.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,49.0,0
194,56.0,1.0,2150.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0
195,32.0,1.0,2150.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,77.0,0
196,51.0,2.0,1650.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0
197,35.0,3.0,2450.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,93.0,1
198,46.0,4.0,2600.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,0
199,39.0,0.0,1200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0
200,47.0,0.0,1250.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0
201,43.0,3.0,1600.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0
202,48.0,0.0,1400.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0
203,49.0,1.0,1650.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0
204,58.0,7.0,3150.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0
205,50.0,0.0,2200.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,83.0,0
206,49.0,5.0,900.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0
207,62.0,0.0,2200.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,71.0,0
208,57.0,4.0,1700.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,1
209,43.0,0.0,1400.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,60.0,0
210,52.0,3.0,1600.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0
211,57.0,5.0,2450.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,95.0,0
212,41.0,1.0,1200.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,0
213,55.0,1.0,1250.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,62.0,0
214,41.0,2.0,2300.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,93.0,0
215,58.0,3.0,1300.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1
216,48.0,1.0,1600.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0
217,47.0,0.0,2250.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0
218,53.0,6.0,2200.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,95.0,1
219,50.0,4.0,2000.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,39.0,0
220,45.0,0.0,1400.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,69.0,0
221,43.0,4.0,2550.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,92.0,0
222,51.0,2.0,2300.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0
223,54.0,1.0,1700.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0
224,56.0,3.0,1700.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0
225,33.0,2.0,1650.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,0
226,54.0,0.0,1500.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0
227,38.0,3.0,2750.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0
228,34.0,6.0,1800.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0
229,45.0,3.0,1750.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,61.0,0
230,51.0,0.0,1300.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,70.0,0
231,34.0,3.0,1450.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0
232,41.0,2.0,1500.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,0
233,48.0,5.0,1800.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0
234,30.0,0.0,1200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0
235,41.0,0.0,1450.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,70.0,0
236,43.0,2.0,1650.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,72.0,0
237,39.0,3.0,2850.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,88.0,0
238,53.0,0.0,2200.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,88.0,0
239,44.0,0.0,1500.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,61.0,0
240,40.0,0.0,1450.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,61.0,0
241,40.0,3.0,1500.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,62.0,0
242,52.0,3.0,1650.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,0
243,46.0,4.0,1000.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,53.0,0
244,42.0,0.0,1500.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,56.0,1
245,49.0,2.0,1250.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0
246,58.0,0.0,2200.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,78.0,0
247,38.0,1.0,1300.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,63.0,1
248,49.0,2.0,1250.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,56.0,0
249,40.0,6.0,650.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,56.0,0
250,42.0,3.0,1700.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,49.0,0
251,23.0,1.0,1100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0
252,29.0,1.0,1500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0
253,62.0,2.0,1250.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,57.0,1
254,47.0,4.0,1150.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,47.0,0
255,51.0,2.0,2350.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0
256,43.0,0.0,1250.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,0
257,39.0,0.0,1350.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0
258,39.0,1.0,1750.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,76.0,1
259,43.0,3.0,1500.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,65.0,0
260,54.0,4.0,1350.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,64.0,1
261,44.0,4.0,2650.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,90.0,0
262,49.0,2.0,1450.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0
263,43.0,7.0,1150.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,47.0,0
264,44.0,4.0,2850.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,95.0,0
265,47.0,0.0,1700.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0
266,55.0,2.0,1800.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,68.0,0
267,38.0,2.0,1650.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,43.0,0
268,49.0,4.0,2150.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,77.0,0
269,55.0,1.0,1350.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,58.0,1
270,49.0,1.0,2150.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0
271,42.0,1.0,1450.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0
272,52.0,1.0,1750.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0
273,28.0,0.0,1550.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,42.0,0
274,57.0,0.0,2200.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0
275,44.0,3.0,2200.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0
276,52.0,0.0,1150.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0
277,65.0,6.0,1600.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0
278,59.0,2.0,1100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0
279,52.0,1.0,2250.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,75.0,0
280,48.0,4.0,1450.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0
281,51.0,3.0,1600.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0
282,36.0,4.0,1350.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0
