user_id,actual,own_rec_baseline
19,"[  849843   883404   944486  1021133  1033615  1133018  8293732  9835960
   822346   826249   841220   847982   858257   863664   885463   893501
   899391   900072   911162   922318   943088   953134   962229   978382
   981944   994928   995242   999104  1002739  1003188  1016286  1027068
  1029915  1031083  1038746  1039549  1043128  1044078  1044895  1045515
  1062863  1063577  1082185  1096317  1098066  1101173  1121360  1122115
  1122876  1132006 12349795 12810422 12946027 13876901 14025027 15926844
 16769936 16770135   880969   896976  1043590   827180   833025   834833
   837751   882604   912553   942792   964254  1029743  1070015  1104898
 15596379  5565352 15629778  6533765  6534178   844165   971195  1040781
   885917   911812   904360   924014   985119 14025185   840361   868909
   952317   965766  1106523  1118012  5995439  6632589 15596705 15686794
 15686893 15926638   823704   827806   840227   843306   844179   853643
   861701   866227   868423   874972   882138   899624   905913   941741
   979707  1000236  1033707  1039612  1042438  1042628  1044805  1055072
  1068708  1077490  1084177  1094955  1132789  5568197  5568378  5979322
  6463367  7166817  9296804  9832504 13190370 13871141 15926563 17179382
   821970   824311   832678   837139   838319   846764   871611   871756
   882190   892008   893018   898068   903931   905537   923746   930917
   935008   936117   938700   946308   949965   951190   982833   988843
   990004   998049  1009770  1013321  1029624  1042907  1045220  1051810
  1070702  1073842  1074405  1123842  1135995  1139471  5564931  6463775
  6463986  7441419  8019385 13003092 16733215 16733960]","[928932, 1021133, 1000236, 834833, 1100150]"
20,"[  821556   823758   840361   865330   878637   883404   889618   927019
   929018  1002850  1016274  1075368  1126899 10149303 10457177   892264
 15596268   910109   911215   913745   941532   944836   945611   960528
   995965  1016709  1017363  1117034  5568191 12301073  6534178  1045966
 15629778 15630096   897954   946682  5592931 13115641 13944807  1129709
  5571444 12384729 12696250   819112   905217  1000664  1039156  1048570
  1075032  1086740 13007618   948509  1055425   901772   908283   911614
   923746   944454   856888]","[949836, 894360, 1123106, 983267, 944454]"
21,"[  937725   950098   995242  1022872 10149808 10344586   820291   834117
   838630   842930   896369   903233   903513   934697   940731   946788
   947798   951651   959010   981103  1003818  1007210  1009567  1042907
  1043837  1049735  1058997  1064054  1072483  1094308  1123842  6463717
  6463775  6979579  8205673  9419525 14025503 18119016]","[6904419, 8011397, 8011282, 8011285, 5569135]"
22,"[  970710   995965  1101725 13095004  6534178   827656   873622   900311
   956599   972445   983278   995645  1017472  1048257  1055646  1082185
  1082554  5978656 12301051   854852   859427   894511   944836   979423
  1043837   824323   836952   870424   872461   881047   881883   888275
   897270   909002   992986  1030040  1037451  1052335  1070820  1097761
  1098066  1100137  1110142  1139058 16729299   929363  1048272 13877013]","[1104349, 1018339, 13115981, 900311, 853221]"
23,[  957411  1034176 12648296   913038   927027  7441271 17179425],"[1138858, 1076306, 906335, 828331, 1010440]"
24,"[ 9835619   833866   866211   903230   914186   949931  1036501  1077555
  1082185  1101174 15452874   844462   853317   881608   898068  1055168
  1082172  1094308  1096036  1101104  5568378  5569327  9707240 12582395
 17291928   873474   879528  1013868  1083461  1106523  1110244   914318
 17329964]","[1008814, 1036501, 1016800, 935993, 859237]"
25,"[ 6534178   826249   858302   879948   885863   898510   929018   938700
   943233   976998   983665   987480   995242  1003188  1012284  1043751
  1058779  1072330  1074524  1101567  1128665  1134522  8090521  9526431
 12427353 13008065 13213122   847270 10121965 12577242  7119702   823704
   844179   904574  1014932  1131321  1133018  1135476  9487421 10204487
 10204822 15686676]","[854133, 1118281, 1075786, 1075793, 1012284]"
26,"[  955399  1021133  1106301   833715   839147   840102   848970   852182
   857849   871061   892008   970371  1081189  7441391  1051069  1081262
   834158   849843   859426   906838   930917   938700   960791   982757
   995785  1013321  1028422  1036297  1062966  1081177  1095374  1101907
  7410014   960075  1070015  1130877  9832070   857966   905072   971325
   985119   990797  1018364  1050851  5979276 12171843 12263508 15715969]","[1021133, 8119303, 931108, 9707137, 6391080]"
27,"[  931108  1077409  7409957 12731484  1003836  1052833  1052920  6034249
 15452032 15927033  9245108   918733  1082185  9829787 13007845 15927661
   971633  1062860  9297106  1071171  9419470   923654 10182813   959409
  1077555  5978648   897449   932248   942088   949965  1014388  1002558
  1005861  7441391 13115849 10456655 17214971  1005609  7167249 12673243
   996425   867709  1058709   881529   963686  1118264  1019479   986912
  1018085 12599756  1059308]","[1052920, 1057168, 963686, 1058709, 1029252]"
28,"[  878996   897493   943233   948670   967332  1003799  1005186  1016724
  5995303   921836   944419   974177  1005493  1033814  1119051  6979415
 13945030]","[6533368, 8090546, 992730, 1033913, 857554]"
29,[ 1120134 13157800],"[834833, 1021133, 891505, 1026346, 934653]"
30,[995242],"[1062572, 6391557, 918046, 6443350, 1029112]"
31,"[ 6534178   819978   855916   866211   869604   898847   900842   904422
   916122   921744   940631   948650   961554   981760   987562   997907
  1010676  1027474  1040867  1054483  1056492  1070214  1082185  1098844
  1110142  1126899  1136257  6391016  9337222  9526100  9677615 12188127
 13095719 15595772   897922   984743 12778045   885863   984957  1066949
  1070820  1082141  1086727  1094767  1097280  6034857  6463727  6773074
  7410356  9445760  9858622 10284955 10285242 12385374 14025676 15717214
 17329139  1082990 13381928   822984   860248   863447   933835   943076
  1002558  1004906  1040807  1069635  1070702  1121367  1127232  1135476
  5569230  7166865 12487888]","[7169088, 9526100, 864279, 898847, 1063739]"
32,"[  834102   955897  1091365   843111   972569   981760   992986  1003441
  1009449  1051046  1055853  1058997  1063709  1114762  5587894  9297059
  9677280 10285141 13671963 15596933]","[397896, 868888, 5995603, 1003441, 833787]"
33,"[  835236   836445   871756   898394   978376  1055646  1065835  1071939
  1077048  1081177  1106301  1123420  1133072  5572738  5590613  5590695
  5592094  5981267  8357613 12810556]","[1033913, 968146, 920844, 953539, 958252]"
34,"[ 993638 1017221  839262  856772  893851  913202  952317  982493  999971
 1022003 1042628 1044805 1101010 6463658 7440663 9526886]","[7168058, 1138292, 829722, 897341, 1067378]"
35,[1053690],"[943141, 953539, 1033913, 864335, 6464165]"
36,"[ 1029743  1084310   891752   964254   866211   909714   925626   929668
   962229   994262  1097991  1131602  7409970  9676839 13777049 15973034
   865233   871061   879699   901062   911215   912451   913144   916122
   951526   962568   970714   973673   989075   997988  1000792  1062002
  1066725  1067779  1079023  1082185  9419585 14043823 14043826 15830984
 17105006   959544 13157800 15830493]","[7409970, 1097991, 849578, 1047076, 1007136]"
37,"[ 904813  953104 1046689 1088191  990014 1014458 1026086 1078176 1101980
 1122358 8119303 1067695 1097001 9487603]","[1056212, 1097001, 1067695, 916990, 1132956]"
39,"[  825365   923789   930918   937614   947068   949784   954673   965982
   978851   985129  1004950  1031525  1084526  1102927  1115387  5564636
  5566648  6034249  6039592  6442858  6602697  7441391  8090440  8157495
 10456180 12188610 13008321 14025159 15831572   843898   868088   889768
   893018   903123   913089   929668   957164   971807   974108   992985
   998424  1038214  1056964  1073086  1100778  1101104  1113584  1121656
  1127368  1127716  1132036  7410336  8155849  8160319  8276172  9526624
 12428210 12696183 12781828 12782182 12812042 12812045 13134174 14025267
 15452576 15566670 15596303 15830972 16223130 17249340 17902812 17903101]","[6395907, 1127716, 880050, 6513713, 1017127]"
40,"[  828935   840361   857541   906883   921288   932503   995134   995242
   995785  1040927  1049788  1056651  1076587  1083043  1117824  1133850
  1138125  5568228  7409845  9913338   893389   953476  5566884  7433054
  8203629 13190326  6534178   822140   918096  1055646  1090587  1123321
  9833335 13513359   825365   901754   903325   926065   929433  1007746
  1035136  1047226  1072523  1082185  1137694 12582106 14050428  1028290
   884987   916122   991435  1081626  5978656  8118506   843891   875391
   928092   928263   939636   973868  1016782  1037863  1135476  5585510
  5591777  6552259 10149012 10149949 15926612   913210   935824   968269
  1000228  1054047  1067820  1112205 17381676   834484   845208   874976
   957013  1039156  1096280 12731518]","[1076587, 1083043, 928092, 1056651, 1112205]"
41,"[  843418   845307   865705   883039   909714   913210   936594   976998
   985160  1044805  1082185  1123436  6961848  7145149  8181516  9419888
  9651582  9651705 13133557 13189861   844740   847139   874277   902238
   994928  1016210  1087754  5565784  5585510  7168233  9707340 13072944
 13133971 17902077   874972   982360  1120009  9419585 12810393 12985761
 15926507 17179873 17291590]","[9651582, 6961848, 5995445, 1120009, 827806]"
42,"[  839656   896369   905986   914190   916122   955288   966695   976998
   981760  1031087  1076195  1082185  1093334  1098910  1109374  1115874
  1117500  6602199 13190284 13190673 15452032   829621   835296   853846
   874972   882941   897953   923746  1112766  5978656  5995177  6602697
  9926758   827578   829982  1089568   865510   928123   940980   963686
   965766   972193  1029743  1120839  6602711 12263277 16734350]","[5995177, 887225, 1060673, 904774, 1070803]"
43,"[  821787  1029174  1095068   873178   838319   925514   942088   987480
  1074933 14050446  1120741  5592657 13190194 13190673]","[821787, 1115800, 1120741, 958067, 1010190]"
46,"[  878996  1029743   862335  1082185  1082212  9523079   821209   822524
   822785   833591   834572   836445   838867   840102   840244   850115
   850139   865501   871337   874025   876932   883932   884896   889649
   889731   901396   902856   920155   923746   938980   942525   960732
   970619   979523   980860   981660   988202   991025   992990   999104
  1003799  1004906  1009884  1034886  1041874  1042438  1044207  1050618
  1051989  1068719  1075275  1078449  1085778  1089225  1106271  1108094
  1109136  1109249  1120361  1122844  1128244  1129538  1130763  1133761
  1135573  1139184  5568721  5572738  6463752  6464074  7409969  7441271
  8018957  8090532  8090537  9419487  9931450 10143885 12731727 15800873
 15973091 16035203   837569   866211   882247   903325  1055646]","[6544236, 862335, 1068957, 1033913, 5565925]"
47,"[ 1040935  9487606  9677366 16035203  6553438   890143 12330376   907308
  1126252  8119318 17215208]","[6533681, 6533236, 9858936, 934948, 974179]"
49,"[  825365   837602   840361   862349   862732   900770   908531   926206
   931600   935200   949645  1014915  1018399  1028715  1033846  1050482
  1058997  1073775  1074333  1098786  1101771  1129610  1136700  1138677
  1139569 15860306   822407   879184   883404   892008   930917   990256
  1000753  1030182  1053282  1093697  1103691  1108854  7167967  7409971
  9677737 12301338 13416453  6534178   839243   845992   846506   859191
   895295   904092   916122   918410   933358   959272   970455   982283
   983680  1027168  1039927  1062711  1091408  1121218  6602697  6704411
  7409989  7410271  9526839 10144494 12384953 12731432 15801136 15801279]","[900770, 1014915, 1139782, 1069268, 1033846]"
50,"[  833245   835058   838602   865992   874736   899844   907631   908531
   912739   925626   935284   947797   952127   962118   962229   965766
   999090  1005176  1016863  1022322  1027068  1029743  1046191  1048483
  1049897  1057315  1073775  1093603  1097239  1107289  1126895  1127624
  6463367  6633224  6633273  6979030  6979089  9655528 12301475 12949855
 13213405 15570760 15863619]","[1090330, 917277, 871162, 5570882, 1018588]"
51,"[ 820165  867469  880427  887661  981760  985185 1004906 1029743 1055646
 1070272 1072523 1082185 1088147 1119761 7410344]","[8015407, 1053016, 1015612, 898510, 1101174]"
52,"[  889223   895652   898847   910309   995505  1030182  1040371  1056740
  1072437  1074524  1076161  1082185  1093113  1106523  1115553  1116624
  5564901  6602493 13189899 13382073 17900896   832678   843346   909972
   937403  1013982  1040839  1059308 13417250 16053143 16058630   851528
  5592161  9677931  1056672  1037340  5569230]","[879280, 878880, 850795, 1088393, 1085983]"
53,"[  820291   825882   839419   859427   876887   897837   902238   906883
   921197   927382   944823   953476   961370   961873   979117  1026758
  1057600  1082185  1087102  1099802  1105623  5564636  5567889  6034857
  6632447  9832156 13115207 13906641 15831592   844179   884039   892920
   919922   939546   950988   991465   991575   995686  1013149  1097418
  1116555  5569471 13115568]","[902238, 1099802, 964853, 906335, 927382]"
55,"[  990797  1078763  1097280  5566398   844165   849843   883932   995242
 13007355 13008334  1062966  1098066  7409790 15926844   899624  1068343
  1077373  1082185  8205252  8249513 12810422 13006953 13115524]","[6391080, 1115800, 995722, 5570513, 1034837]"
56,"[  825541   834484   846260   860776   891415   909685   938366   951102
   963835   979707   995785  1002877  1010112  1056651  1076195  1080331
  1082185  1112333  1116821  8160430  9445919 10356662 12525017 12984929
 13115812 13944905 14025349   899624   900586   972737  1037863   866227
   949294  1068651   844179   855374   878636   882019   911974   968713
   990797  1028621  1039796  1058997  1070910  1071333  1119879  5566627
  5569230  9333734 15716369   831523   917695   929726   974617  1022097
  1119634  1123101   922561  1098066  1125962  1132231  5568729  9803545
   848029   848471   852856   881857   892978   908531   913106   922608
   929341   938700   949965   967994   990941   991223   992058  1007804
  1011876  1015983  1074933  1087955  1092937  1119051  1124100  6034857
 12810389 13189891 14025442 15863878 17208470 17214971 17990339   873627
   904997   958826  1130581  6463729  6464165 13776122 17179856]","[9803545, 5568072, 1056651, 1068651, 6533608]"
57,"[  943088   965766  1055646  9222020  9297062  9420288 12352023 12352400
   854852   859121   915874   931108   947147   952122   961447   987237
  1074524  9487606 15973195 17249614  1011141  1038144  6772937  7115533
  7115628 12757506 13381658   861615   862973   848478  1048439  1048563
  1065871  8293219   975705  6534178   967929   979707  1065593  9676866
  9858868   980447]","[931108, 947147, 861615, 9297056, 9297602]"
58,"[  819927   821641   834484   847270   862852   869604   876948   899838
   900586   925112   925514   926032   953243   954146   957013   960732
   979707   982955   995785   998435  1006184  1048563  1055425  1080841
  1088387  1092120  1101725  1103377  5978656  6443283  6463727  6979717
  8155722  8157828  8205620  9419401  9419915  9420140  9833549 10344718
 12330660 13008326 13008327 13039578 13511555 13512516 15800992  6534178
   934399   992077  1070820  1082185  7443373   871946   977780   984957
   999639  1033845  1048068  1055646  1069788  1095275  1101437  6919354
   901062   901666   973305   991747  1058997  1059308  1074392  1081944
  1115874  5578547 10311767 12352204 12386206 13777431 16055894   820165
   834520   862349   897125   903325   912503   915493   915797   916758
   927206   949196   977492   995151  1000143  1033731  1043064  1093966
  1094955  1120443  1135258  1135476  9268695  9446216 10356370 10457044
 13382461 13382462 13412122]","[1093966, 953243, 975938, 1054216, 916758]"
59,"[ 6534178   850961   927344  1065832   826385   827475   830608   833025
   838097   857981   865456   899624   909338   937928   943897   948232
   963876   998424  1002739  1021057  1021541  1077555  1086233  1092944
  1133018  5978656  9527424 10150194 10180324 10355865 10457471 12352283]","[1134296, 847962, 1006573, 1090330, 1024032]"
62,[   51220   197681   201704   242044   257951 12530140 12735570 13194819],"[51716, 1559515, 1082185, 6534178, 1029743]"
63,[ 847344  892144  937371  970619 7431408  927400],"[1062572, 1028166, 995598, 1125123, 838738]"
64,"[ 7147142  7152455  8019716   860528   872146   891405  1088835  7147145
   909894   999270  1022003   953476   978965  1065593  1114573 13115504
   894236   976998   981521   985579   828867   901460  1036699 13841744
 15741041  1004906  1024583   839238   843304   890455   982469  1071554
  1135959   996425   839419  1056762  1138189  6463658]","[978965, 1031866, 949023, 894236, 7152455]"
65,"[  986912   905542   965766  1118281  5568378  5582789  5583944  5584007
  5585727  5588121  5588666  7149908 17901020  7168286 12781564]","[961889, 871722, 12330794, 1084796, 821787]"
67,"[ 1025650  5978648 16769918   823758   832976   853354   859075   880741
   911812   947326   965530   983507   990440  1004945  1007773  1033372
  1077490  1082185  1115576  5978656  7409548 15927183 15927949 16729415
 16769856  6534178   941062   964329   971922   823176   823721   851722
   866211   867668   869577   869604   890283   934507   937060   949965
   980644   983316   995242  1004906  1009128  1022254  1024731  1038217
  1054483  1055646  1068719  1092446  1100617  1104414  1106198  1118946
  1126979  1127328  1134016  1139184  5564876  6772684 10122037 10341697
 12577242 13073133 13095061 17179899   822140   833458   835243   856060
   856772   867020   926905   952317   953476   971949  1062782  1074754
  1085780  1102927  1133018   835788   918733   942525   945779 10284975
 14025138  9655494 10344714 10344718   845193   903350   907418   921374
   925626   940766   965766   981082  1067400  1069897  1075470  1110244
  1133169  7167963 10121610 15926725   826249   904236   953677  1110764
   826385   835098   843206   863479  1022872  1042907  1119089  5565420
 12810391   833935   871754   873654   878996   925624   951590   961554
   963228   985999  1028816  1029968  1108092  1113141  1115938  1122889
  1135476  5564634  5587337  9573206 15717047]","[9420067, 914697, 1139782, 892728, 1112825]"
68,"[ 1098066   946681  1037894  9527158  1101010   879755  9526563   820165
   844165   883404   918098   946977   947798   959272   986760   995242
  1004906  1016302  1016881  1044078  1075470  1092026  1131550  9677748
  9526886  7431990   826249   831509   901460   949965   951590   981760
  1051211  1110244  5568378 12302069  1083254  7167218  7409824 15629846
  1033615 18105177   848355   883963   884774   890749   896974   898068
   923746   927191   941741   942088   944852   976998   999134  1020604
  1027447  1038217  1048440  1065593  1106390  9487603 15926927   897125
   901067  1082990   825289   856252   896444  1012587  1058554  1085476]","[9527158, 1037894, 1085604, 5568426, 9526563]"
69,"[  842707   953180   983316   981760  1043663  1069538  1106523   983659
  1044188  5565612   951590   956486   960253  1064574   828798  7167249
   824555   844179   848329   868971   900491   918733   951526   979452
  1050131  1053763  1079292  1091365  1134454  5574409 13007514   823990
   826249   833935   861486   905913   907014   923967   972143   987410
   990656  1013999  1037863  1044078  1055646  1068719  1079987  1099905
  1101173  1118598  1123420  1130777  5568721  9835408]","[1037631, 902377, 1044188, 1127470, 1019497]"
70,[1039156],"[894236, 1044153, 1079528, 9573206, 1130375]"
71,"[  916122   926905   995242  1016800  1026332  1056509  1068719  1069806
  1093212  9364612 13841744 15716677   840361   859075   860776   865511
   899624   902304   919126  1008288  1082185  1087986  1093030  1101010
  5591215  8019186 13842100   842366   965766  1031519  1050229  1099510
  1119860  6553398  8118675  9483647 13906634]","[1008288, 10149656, 1023027, 1091809, 1056509]"
72,[6534178],"[8019681, 921920, 1125948, 1011645, 904359]"
75,[ 626178  700242  783480  801564 5557467],"[480014, 1559515, 1082185, 6534178, 1029743]"
77,"[  822785   829323   840361   842286   854405   859075   865511   869220
   873964   879506   880150   893018   898011   917033   920769   926025
   928036   937571   938700   948832   953476   954347   955921   972969
   978561   980860  1008212  1013149  1013321  1022097  1024879  1030819
  1035357  1038746  1043796  1050229  1070910  1072693  1074754  1077430
  1082185  1106523  1109136  1111230  1126899  1135694  1137010  6979128
  7410348  8176840  9367900  9857392 10285144 10356370 13381584 13417328
 13417502 13417854   829950   833715   843898   857276   867460   870608
   874877   879977   901062   904755   907014   908775   915621   916122
   919118   959985   966348   967065   974108   978077   981760   997988
  1003188  1012899  1014948  1015508  1021152  1043563  1060408  1089025
  1091410  1097239  1098066  1101502  1107935  1108296  1109598  1117191
  1127758  5569327  7441102  9368509  9487885 15741861   850841   923967
   982731  1014458  1029968  1053769  1055863  1071179  1096635  1097815
  6772684 15596549   851711   857503   863211   883418   903233   962206
   962229  1002558  1020682  1025628  1032950  1038217  1053730  1069334
  1091520  1103147  7168383  9834000  9878513 12987861 13910169 15717046
 16769785 17899702]","[6979128, 955921, 1093966, 849578, 9676997]"
78,"[  826578   849843   975649   995055  1052439  1088835  9419470   978061
  1039627  1097280  9420312  9573206 12262992   896369   929605   968932
  1048325  6533681   889731   923746   999207  1082185  5995503  5995609
 13115497 13115938  9297055 13775274   838739   850529  1084331  1104349]","[9573206, 6773232, 6391080, 9420336, 1081421]"
79,"[ 6533889   862349  1010164  1053690  8181516  9707077 13956162   897954
   864741   871756   921504   960732  1070015  1070845  7441498 12130522
 13213604 15925334 15926886 17179856]","[983795, 1010164, 1018670, 12263279, 918907]"
80,"[  933599  1026550   820165   828331   828867   831763   837248   842707
   854042   854900   861819   867020   896027   898212   929605   953180
   978974  1003188  1033615  1039566  1065871  1078741  1121360  1130458
  5592657  6553398  7409957  7441452 13512837 15831123   901062   933060
   976065   986912  1005186  9926758 10356452]","[894360, 891542, 916767, 5571444, 871722]"
81,"[  840601   999971  1076769  7167218   913490   916381   981944   995242
  1000050  1077057  1082045  7410219 13190390]","[989985, 898847, 902377, 901403, 988697]"
82,"[ 1119761 12731299   908846   917816   929726 12599756   984511  1045285
 15452409]","[1084036, 819308, 1119761, 849202, 12810464]"
83,[ 840361 1075214],"[879393, 954102, 1033324, 1138631, 1059902]"
84,[ 830887 1079292 5565369 6034966],"[1001646, 861973, 829722, 899580, 883916]"
85,"[  939770  1018298  1076056  1079987 13007986   819840   829852   840386
   843656   859075   887219   905081   907132   908368   967569   988505
  1097280  1105769  1107543  5588582  6919239  9677315  9677555  9883760
 12262492 14025731 14106445 16100266 16100486   839753   840361   853904
   858336   866950   921744   979746  1022843  1077540  1139782   904521
  6703892   822226   891463  1131326  5592030  6463727 12330607 12385374]","[983936, 1139782, 1021519, 849578, 1105426]"
86,[ 951590  971922 1101010 1106523],"[865026, 1070803, 5569376, 921920, 820301]"
87,"[  953154  1008820  1044507   822931   831091   866931   965963   968297
  1064207  1079528  1116451  6396558  6547736 12457308   948790  1018177
  1030755  1036927  1108935  8293385]","[1079528, 1044507, 1018364, 1083043, 8293385]"
88,"[ 6534178   888055   900175  1033742  1092264  7441915   826249   831063
   834117   842416   860167   863030   878996   893018   897007   908213
   913270   916993   930603   933835   942278   947201   965982   992985
  1015826  1039589  1039831  1048200  1066289  1081177  1082185  1086795
  1089025  1115874  6034857  6463464  8019716  8090521  8119297  9487898
  9487901  9881593  9884579 12384775 12781914 13007434 13115914 13416093
 13513106 13944991 15831403 17902957  1043663  1070820   840361   857503
   869577   871440   991435  1048462  1071377  1096036  1128665  8118768
  9858795 10285005 10285303 10341697 13115207   847186   904360   905868
   913210  1008316  1105623  1106390  1114035  5568642   830887   832678
   833723   843171   856790   862981   866573   871636   877226   889362
   891141   913202   927191   939636   944466   948622   949408   953320
   953476   961269   963676   964356   970119   976955   984575  1013770
  1017772  1040530  1042341  1051069  1051211  1068561  1070276  1084331
  1089074  1093019  1116770  1131490  1135476  5565925  5569071  5580525
  6463658  8156489  8249440  9420181  9420253  9523058  9526563  9526886
 12810393 13213211 15596516 18005477   834842   866140   891758   915621
   917008   920457  1021377  1063516  1070428  5568869 15596317   839192
   917543   981760  1040805  1069538   837677   849100   852145   872762
   884039  1100973  5565352  5578358  6534578  9655305  9836752 15686689
 17179899 17330179]","[888104, 1082990, 842416, 913270, 820486]"
90,"[  835280   852856   861272   862535   879393   881443   889912   896283
   911703   923149   923789   942299   954673  1003188  1022097  1027569
  1036347  1041796  1070820  1082185  1088775  1130470  1131550  1137218
  5584027  5584620  5590287  6424464  6464166 12524365 15716745]","[862535, 833351, 6464166, 970365, 1135552]"
91,"[  838637  1029743   845622   873203   895540   908290   968882  1088147
  1095100  1113667  6534178   851394  1024871  1109638 13133787 15863817]","[989275, 838637, 1056651, 1033913, 1024833]"
92,"[  828713   843842   855672   872729   880150   899446   900072   900802
   909750   950557   972569   991092  1039549  1055646  1059891  1060567
  1068832  1070463  1080853  1136237  5568721  6424447  6979005 12171110
 13157944]","[1029112, 1050645, 987838, 895268, 6391080]"
94,"[ 1014116  1076580  1082185   866211   878996   883940   885710  1013641
  1030320  1041267  5575713  5592681  9925966 15800863   826144   826249
   840361   979707  1077555 12130522]","[1065979, 849578, 873550, 985889, 948651]"
